id_class;id_hospital;rating;comentario;data_classificacao
1;10005;3;;2017-05-20
2;10012;3;;2017-05-20
3;10032;4;;2017-05-20
4;10095;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
5;10131;3;;2017-05-20
6;11304;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
7;20018;3;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
8;21308;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
9;21309;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
10;21310;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
11;30071;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
12;30073;3;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
13;30074;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
14;30077;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
15;30084;3;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
16;31305;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
17;31308;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
18;31309;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
19;40007;2;;2017-05-20
20;40018;3;;2017-05-20
21;40050;4;;2017-05-20
22;40154;0;Results are 0 for this reporting period;2017-05-20
23;41324;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
24;41328;3;;2017-05-20
25;50054;2;;2017-05-20
26;50103;3;;2017-05-20
27;50138;3;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
28;50145;5;;2017-05-20
29;50224;4;;2017-05-20
30;50280;3;;2017-05-20
31;50309;4;;2017-05-20
32;50488;3;;2017-05-20
33;50547;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
