id_comparacao;id_hospital;imag_medica;tempo_espera;cuidados;exp_pacientes;read_nacional;seguranca_nac;mortalidade_nac;data_comparacao
1;10005;Below the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Below the national average;2017-05-20
2;10012;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;2017-05-20
3;10032;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
4;10095;Not Available;Same as the national average;Below the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
5;10131;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;2017-05-20
6;11304;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
7;20018;Not Available;Not Available;Not Available;Below the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
8;21308;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
9;21309;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
10;21310;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
11;30071;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
12;30073;Not Available;Not Available;Same as the national average;Below the national average;Same as the national average;Same as the national average;Not Available;2017-05-20
13;30074;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
14;30077;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
15;30084;Not Available;Not Available;Below the national average;Same as the national average;Same as the national average;Not Available;Not Available;2017-05-20
16;31305;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
17;31308;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
18;31309;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
19;40007;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Below the national average;2017-05-20
20;40018;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
21;40050;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
22;40154;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
23;41324;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
24;41328;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
25;50054;Not Available;Below the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
26;50103;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Above the national average;2017-05-20
27;50138;Not Available;Not Available;Same as the national average;Below the national average;Same as the national average;Below the national average;Not Available;2017-05-20
28;50145;Above the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
29;50224;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;2017-05-20
30;50280;Above the national average;Below the national average;Same as the national average;Below the national average;Above the national average;Above the national average;Below the national average;2017-05-20
31;50309;Above the national average;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
32;50488;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
33;50547;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
34;50567;Below the national average;Below the national average;Same as the national average;Below the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
35;50684;Not Available;Below the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
36;50717;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;Not Available;2017-05-20
37;51310;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
