id_hospital,nome,telemovel,emergencia,ehr,cod_postal,estado,cidade,morada,id_tipo,id_dono
10001,"SOUTHEAST ALABAMA MEDICAL CENTER",3347938701,VERDADEIRO,VERDADEIRO,36301,AL,DOTHAN,"1108 ROSS CLARK CIRCLE",1,1
10005,"MARSHALL MEDICAL CENTER SOUTH",2565938310,VERDADEIRO,VERDADEIRO,35957,AL,BOAZ,"2505 U S HIGHWAY 431 NORTH",1,1
10006,"ELIZA COFFEE MEMORIAL HOSPITAL",2567688400,VERDADEIRO,VERDADEIRO,35631,AL,FLORENCE,"205 MARENGO STREET",1,1
10007,"MIZELL MEMORIAL HOSPITAL",3344933541,VERDADEIRO,VERDADEIRO,36467,AL,OPP,"702 N MAIN ST",1,10
10008,"CRENSHAW COMMUNITY HOSPITAL",3343353374,VERDADEIRO,VERDADEIRO,36049,AL,LUVERNE,"101 HOSPITAL CIRCLE",1,6
10011,"ST VINCENT'S EAST",2058383122,VERDADEIRO,VERDADEIRO,35235,AL,BIRMINGHAM,"50 MEDICAL PARK EAST DRIVE",1,10
10012,"DEKALB REGIONAL MEDICAL CENTER",2568453150,VERDADEIRO,VERDADEIRO,35968,AL,"FORT PAYNE","200 MED CENTER DRIVE",1,6
10016,"SHELBY BAPTIST MEDICAL CENTER",2056208100,VERDADEIRO,VERDADEIRO,35007,AL,ALABASTER,"1000 FIRST STREET NORTH",1,10
10018,"CALLAHAN EYE HOSPITAL",2053258100,VERDADEIRO,VERDADEIRO,35233,AL,BIRMINGHAM,"1720 UNIVERSITY BLVD",1,10
10019,"HELEN KELLER MEMORIAL HOSPITAL",2563864556,VERDADEIRO,VERDADEIRO,35660,AL,SHEFFIELD,"1300 SOUTH MONTGOMERY AVENUE",1,1
10021,"DALE MEDICAL CENTER",3347742601,VERDADEIRO,VERDADEIRO,36360,AL,OZARK,"126 HOSPITAL AVE",1,1
10022,"CHEROKEE MEDICAL CENTER",2569275531,VERDADEIRO,VERDADEIRO,35960,AL,CENTRE,"400 NORTHWOOD DR",1,10
10023,"BAPTIST MEDICAL CENTER SOUTH",3342882100,VERDADEIRO,VERDADEIRO,36116,AL,MONTGOMERY,"2105 EAST SOUTH BOULEVARD",1,1
10024,"JACKSON HOSPITAL & CLINIC INC",3342938000,VERDADEIRO,VERDADEIRO,36106,AL,MONTGOMERY,"1725 PINE STREET",1,10
10029,"EAST ALABAMA MEDICAL CENTER",3347493411,VERDADEIRO,VERDADEIRO,36801,AL,OPELIKA,"2000 PEPPERELL PARKWAY",1,1
10032,"WEDOWEE HOSPITAL",2563572111,VERDADEIRO,VERDADEIRO,36278,AL,WEDOWEE,"209 NORTH MAIN STREET",1,1
10033,"UNIVERSITY OF ALABAMA HOSPITAL",2059344011,VERDADEIRO,VERDADEIRO,35233,AL,BIRMINGHAM,"619 SOUTH 19TH STREET",1,4
10034,"COMMUNITY HOSPITAL INC",3342836541,VERDADEIRO,VERDADEIRO,36078,AL,TALLASSEE,"805 FRIENDSHIP ROAD",1,10
10035,"CULLMAN REGIONAL MEDICAL CENTER",2567372000,VERDADEIRO,VERDADEIRO,35058,AL,CULLMAN,"1912 ALABAMA HIGHWAY 157",1,1
10036,"ANDALUSIA REGIONAL HOSPITAL",3342228466,VERDADEIRO,VERDADEIRO,36420,AL,ANDALUSIA,"849 SOUTH THREE NOTCH STREET",1,6
10038,"STRINGFELLOW MEMORIAL HOSPITAL",2562358900,VERDADEIRO,VERDADEIRO,36201,AL,ANNISTON,"301 EAST 18TH ST",1,6
10039,"HUNTSVILLE HOSPITAL",2562651000,VERDADEIRO,VERDADEIRO,35801,AL,HUNTSVILLE,"101 SIVLEY RD",1,1
10040,"GADSDEN REGIONAL MEDICAL CENTER",2564944000,VERDADEIRO,VERDADEIRO,35903,AL,GADSDEN,"1007 GOODYEAR AVENUE",1,6
10044,"MARION REGIONAL MEDICAL CENTER",2059216200,VERDADEIRO,VERDADEIRO,35570,AL,HAMILTON,"1256 MILITARY STREET SOUTH",1,10
10045,"FAYETTE MEDICAL CENTER",2059325966,VERDADEIRO,VERDADEIRO,35555,AL,FAYETTE,"1653 TEMPLE AVENUE NORTH",1,9
10046,"RIVERVIEW REGIONAL MEDICAL CENTER",2565435200,VERDADEIRO,VERDADEIRO,35901,AL,GADSDEN,"600 SOUTH THIRD STREET",1,6
10047,"GEORGIANA MEDICAL CENTER",3343762205,VERDADEIRO,VERDADEIRO,36033,AL,GEORGIANA,"515 N MIRANDA AVENUE",1,6
10049,"MEDICAL CENTER ENTERPRISE",3343470584,VERDADEIRO,VERDADEIRO,36330,AL,ENTERPRISE,"400 N EDWARDS STREET",1,6
10051,"GREENE COUNTY HOSPITAL",2053723388,FALSO,VERDADEIRO,35462,AL,EUTAW,"509 WILSON AVENUE",1,3
10052,"LAKE MARTIN COMMUNITY HOSPITAL",2568257821,VERDADEIRO,VERDADEIRO,36853,AL,DADEVILLE,"201 MARIARDEN ROAD",1,6
10055,"FLOWERS HOSPITAL",3347935000,VERDADEIRO,VERDADEIRO,36305,AL,DOTHAN,"4370 WEST MAIN STREET",1,6
10056,"ST VINCENT'S BIRMINGHAM",2059397000,VERDADEIRO,VERDADEIRO,35205,AL,BIRMINGHAM,"810 ST VINCENT'S DRIVE",1,10
10058,"BIBB MEDICAL CENTER",2059264881,VERDADEIRO,VERDADEIRO,35042,AL,CENTREVILLE,"208 PIERSON AVE",1,1
10059,"LAWRENCE MEDICAL CENTER",2569742200,VERDADEIRO,VERDADEIRO,35650,AL,MOULTON,"202 HOSPITAL STREET",1,1
10061,"HIGHLANDS MEDICAL CENTER",2562594444,VERDADEIRO,VERDADEIRO,35768,AL,SCOTTSBORO,"380 WOODS COVE ROAD",1,1
10062,"WIREGRASS MEDICAL CENTER",3346843655,VERDADEIRO,VERDADEIRO,36340,AL,GENEVA,"1200 W MAPLE AVENUE",1,10
10065,"RUSSELL HOSPITAL",2563297100,VERDADEIRO,VERDADEIRO,35010,AL,"ALEXANDER CITY","3316 HIGHWAY 280",1,10
10069,"MEDICAL CENTER BARBOUR",3346887271,VERDADEIRO,VERDADEIRO,36027,AL,EUFAULA,"820 W WASHINGTON ST",1,1
10073,"CLAY COUNTY HOSPITAL",2563542131,VERDADEIRO,VERDADEIRO,36251,AL,ASHLAND,"83825 HIGHWAY 9    P O BOX 1270",1,1
10078,"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER",2562355121,VERDADEIRO,VERDADEIRO,36207,AL,ANNISTON,"400 EAST 10TH STREET",1,3
10079,"ATHENS LIMESTONE HOSPITAL",2562339292,FALSO,VERDADEIRO,35611,AL,ATHENS,"700 WEST MARKET STREET",1,1
10083,"SOUTH BALDWIN REGIONAL MEDICAL CENTER",2519493400,VERDADEIRO,VERDADEIRO,36535,AL,FOLEY,"1613 NORTH MCKENZIE STREET",1,6
10085,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS",2563412000,VERDADEIRO,VERDADEIRO,35601,AL,DECATUR,"1201 7TH STREET SE",1,1
10086,"NORTHWEST MEDICAL CENTER",2054877736,VERDADEIRO,VERDADEIRO,35594,AL,WINFIELD,"1530 U S HIGHWAY 43",1,6
10087,"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER",2514717110,VERDADEIRO,VERDADEIRO,36617,AL,MOBILE,"2451 FILLINGIM STREET",1,4
10089,"WALKER BAPTIST MEDICAL CENTER",2053874000,VERDADEIRO,VERDADEIRO,35502,AL,JASPER,"3400 HIGHWAY 78 EAST",1,10
10090,"PROVIDENCE HOSPITAL",2516331000,VERDADEIRO,VERDADEIRO,36608,AL,MOBILE,"6801 AIRPORT BOULEVARD",1,8
10091,"GROVE HILL MEMORIAL HOSPITAL",2512753191,VERDADEIRO,VERDADEIRO,36451,AL,"GROVE HILL","295 JACKSON HWY S",1,1
10092,"D C H REGIONAL MEDICAL CENTER",2057597111,VERDADEIRO,VERDADEIRO,35401,AL,TUSCALOOSA,"809 UNIVERSITY BOULEVARD EAST",1,1
10095,"HALE COUNTY HOSPITAL",3346243024,VERDADEIRO,VERDADEIRO,36744,AL,GREENSBORO,"508 GREEN STREET",1,3
10097,"ELMORE COMMUNITY HOSPITAL",3345674311,VERDADEIRO,VERDADEIRO,36092,AL,WETUMPKA,"500 HOSPITAL DRIVE",1,4
10099,"D W MCMILLAN MEMORIAL HOSPITAL",2518678061,VERDADEIRO,VERDADEIRO,36426,AL,BREWTON,"1301 BELLEVILLE AVENUE",1,1
10100,"THOMAS HOSPITAL",2519282375,VERDADEIRO,VERDADEIRO,36532,AL,FAIRHOPE,"750 MORPHY AVENUE",1,1
10101,"CITIZENS BAPTIST MEDICAL CENTER",2567614542,VERDADEIRO,VERDADEIRO,35161,AL,TALLADEGA,"604 STONE AVENUE",1,10
10102,"J PAUL JONES HOSPITAL",3346824131,VERDADEIRO,VERDADEIRO,36726,AL,CAMDEN,"317 MCWILLIAMS AVENUE",1,9
10103,"PRINCETON BAPTIST MEDICAL CENTER",2057833800,VERDADEIRO,VERDADEIRO,35211,AL,BIRMINGHAM,"701 PRINCETON AVENUE SOUTHWEST",1,8
10104,"GRANDVIEW MEDICAL CENTER",2055921000,VERDADEIRO,VERDADEIRO,35243,AL,BIRMINGHAM,"3690 GRANDVIEW PARKWAY",1,6
10108,"PRATTVILLE BAPTIST HOSPITAL",3343614267,VERDADEIRO,VERDADEIRO,36067,AL,PRATTVILLE,"124 S MEMORIAL DR",1,1
10109,"PICKENS COUNTY MEDICAL CENTER",2053678111,VERDADEIRO,VERDADEIRO,35447,AL,CARROLLTON,"241 ROBERT K WILSON DRIVE",1,1
10110,"BULLOCK COUNTY HOSPITAL",3347382140,VERDADEIRO,VERDADEIRO,36089,AL,"UNION SPRINGS","102 WEST CONECUH AVENUE",1,6
10112,"BRYAN W. WHITFIELD MEMORIAL HOSPITAL",3342894000,VERDADEIRO,VERDADEIRO,36732,AL,DEMOPOLIS,"105 HIGHWAY 80 EAST",1,1
10113,"MOBILE INFIRMARY MEDICAL CENTER",2514354700,VERDADEIRO,VERDADEIRO,36652,AL,MOBILE,"5 MOBILE INFIRMARY CIRCLE",1,10
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",2054817000,VERDADEIRO,VERDADEIRO,35021,AL,BESSEMER,"995 9TH AVENUE SOUTHWEST",1,1
10118,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS",3344184100,VERDADEIRO,VERDADEIRO,36701,AL,SELMA,"1015 MEDICAL CENTER PARKWAY",1,6
10120,"MONROE COUNTY HOSPITAL",2515753111,VERDADEIRO,VERDADEIRO,36460,AL,MONROEVILLE,"2016 SOUTH ALABAMA AVENUE, BOX 886",1,3
10125,"LAKELAND COMMUNITY HOSPITAL",2054857117,VERDADEIRO,VERDADEIRO,35565,AL,HALEYVILLE,"42024 HIGHWAY 195 E",1,8
10126,"TROY REGIONAL MEDICAL CENTER",3346705000,VERDADEIRO,VERDADEIRO,36081,AL,TROY,"1330 HIGHWAY 231 SOUTH",1,2
10128,"JACKSON MEDICAL CENTER",2512469021,VERDADEIRO,VERDADEIRO,36545,AL,JACKSON,"220 HOSPITAL DRIVE",1,6
10129,"NORTH BALDWIN INFIRMARY",2519375521,VERDADEIRO,VERDADEIRO,36507,AL,"BAY MINETTE","1815 HAND AVENUE",1,10
10130,"ST VINCENT'S ST CLAIR",2053383301,VERDADEIRO,VERDADEIRO,35125,AL,"PELL CITY","7063 VETERANS PARKWAY",1,10
10131,"CRESTWOOD MEDICAL CENTER",2568823100,VERDADEIRO,VERDADEIRO,35801,AL,HUNTSVILLE,"ONE HOSPITAL DR SE",1,6
10138,"HILL HOSPITAL OF SUMTER COUNTY",2053925263,VERDADEIRO,VERDADEIRO,36925,AL,YORK,"751 DERBY DRIVE",1,9
10139,"BROOKWOOD MEDICAL CENTER",2058771000,VERDADEIRO,VERDADEIRO,35209,AL,BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE",1,6
10144,"SPRINGHILL MEMORIAL HOSPITAL",2513449630,VERDADEIRO,VERDADEIRO,36608,AL,MOBILE,"3719 DAUPHIN STREET",1,6
10146,"RMC JACKSONVILLE",2567824538,VERDADEIRO,VERDADEIRO,36265,AL,JACKSONVILLE,"1701 SOUTH PELHAM ROAD",1,6
10148,"EVERGREEN MEDICAL CENTER",2515782480,VERDADEIRO,VERDADEIRO,36401,AL,EVERGREEN,"101 CRESTVIEW AVENUE",1,6
10149,"BAPTIST MEDICAL CENTER EAST",3342448330,VERDADEIRO,VERDADEIRO,36117,AL,MONTGOMERY,"400 TAYLOR ROAD",1,1
10150,"L V STABLER MEMORIAL HOSPITAL",3343822200,VERDADEIRO,VERDADEIRO,36037,AL,GREENVILLE,"29 L V STABLER DRIVE",1,6
10157,"SHOALS HOSPITAL",2563861601,VERDADEIRO,VERDADEIRO,35661,AL,"MUSCLE SHOALS","201 WEST AVALON AVENUE",1,1
10158,"RUSSELLVILLE HOSPITAL",2563321611,VERDADEIRO,VERDADEIRO,35653,AL,RUSSELLVILLE,"15155 HIGHWAY 43",1,6
10164,"COOSA VALLEY MEDICAL CENTER",2562495000,VERDADEIRO,VERDADEIRO,35150,AL,SYLACAUGA,"315 W HICKORY ST",1,9
10168,"JACK HUGHSTON MEMORIAL HOSPITAL",3347323000,VERDADEIRO,VERDADEIRO,36867,AL,"PHENIX CITY","4401 RIVER CHASE DRIVE",1,4
10169,"ATMORE COMMUNITY HOSPITAL",2513682500,VERDADEIRO,VERDADEIRO,36502,AL,ATMORE,"401 MEDICAL PARK DRIVE",1,1
10172,"NORTH ALABAMA SPECIALITY HOSPITAL",2562339292,FALSO,,35611,AL,ATHENS,"700 WEST MARKET STREET, 2ND FLOOR",1,6
11300,"WASHINGTON COUNTY HOSPITAL",2518472223,VERDADEIRO,VERDADEIRO,36518,AL,CHATOM,"14600 ST. STEPHENS AVENUE",3,6
11302,"RED BAY HOSPITAL",2563569532,VERDADEIRO,VERDADEIRO,35582,AL,"RED BAY","211 HOSPITAL ROAD",3,1
11304,"CHOCTAW GENERAL HOSPITAL",2054599100,VERDADEIRO,VERDADEIRO,36904,AL,BUTLER,"401 VANITY FAIR LANE, PO BOX 618",3,10
11305,"ST VINCENTS BLOUNT",2052743000,FALSO,VERDADEIRO,35121,AL,ONEONTA,"150 GILBREATH DRIVE",3,10
13300,"CHILDREN'S HOSPITAL OF ALABAMA",2059399100,VERDADEIRO,VERDADEIRO,35233,AL,BIRMINGHAM,"1600 SEVENTH AVENUE SOUTH",2,10
13301,"UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS",2514151000,VERDADEIRO,VERDADEIRO,36604,AL,MOBILE,"1700 CENTER STREET",2,4
20001,"PROVIDENCE ALASKA MEDICAL CENTER",9075622211,VERDADEIRO,VERDADEIRO,99508,AK,ANCHORAGE,"3200 PROVIDENCE DRIVE",1,8
20006,"MAT-SU REGIONAL MEDICAL CENTER",9078616000,VERDADEIRO,VERDADEIRO,99645,AK,PALMER,"2500 SOUTH WOODWORTH LOOP",1,10
20008,"BARTLETT REGIONAL HOSPITAL",9077968900,VERDADEIRO,VERDADEIRO,99801,AK,JUNEAU,"3260 HOSPITAL DR",1,3
